Name,Avg_rating,Avg_review_count,Number,Zipcode
Dunkin',2.326923076923077,15.653846153846153,13,10001
Dunkin',2.4583333333333335,13.75,12,10018
Dunkin',2.35,19.7,10,10016
Dunkin',2.4166666666666665,12.944444444444445,9,11101
Dunkin',2.875,15.125,8,10038
Dunkin',2.9375,7,8,10461
Dunkin',2.375,10.125,8,11226
Dunkin',2.875,9.75,8,11385
Starbucks,2.5859375,43.453125,8,10017
Starbucks,2.6180555555555554,48.229166666666664,8,10036
Dunkin',2.8214285714285716,16.857142857142858,7,10017
Dunkin',2.5714285714285716,16.571428571428573,7,11354
Dunkin',2.7857142857142856,13.428571428571429,7,11372
Starbucks,2.9107142857142856,106.28571428571429,7,10011
Starbucks,2.4801587301587302,33.08730158730159,7,10019
Starbucks,2.586734693877551,37.37755102040816,7,10022
Dunkin',3.125,22.5,6,10019
Dunkin',2.5833333333333335,9.166666666666666,6,10029
Dunkin',2.986111111111111,7.972222222222222,6,10314
Dunkin',2.9166666666666665,9.833333333333334,6,11234
Dunkin',2.1666666666666665,11.666666666666666,6,11377
Dunkin',2.9166666666666665,12.666666666666666,6,11435
Starbucks,2.587962962962963,42.361111111111114,6,10001
Starbucks,2.716666666666667,71.96666666666667,6,10003
Starbucks,2.4791666666666665,44.541666666666664,6,10023
Dunkin',2.3,20.2,5,10002
Dunkin',1.8,16.8,5,10003
Dunkin',2.8,22.4,5,10007
Dunkin',2.2,21,5,10011
Dunkin',2.6,10.4,5,10027
Dunkin',2.3,5,5,10458
Dunkin',3.3,8.4,5,10462
Dunkin',2.3,6.2,5,10467
Dunkin',2.6,6.6,5,10469
Dunkin',2.4,17,5,11106
Dunkin',2,15.4,5,11214
Dunkin',2.45,15.7,5,11223
Dunkin',2.4,16,5,11229
Dunkin',2.3,17.1,5,11235
Dunkin',2.5,19.2,5,11355
Dunkin',2.2,30.6,5,11361
Dunkin',2.15,14.2,5,11373
Dunkin',2.3,31.266666666666666,5,11375
Dunkin',2.2,10.4,5,11417
Dunkin',2.3,17,5,11432
Starbucks,2.4285714285714284,47.371428571428574,5,10010
Starbucks,2.8857142857142857,53.94285714285714,5,10016
Starbucks,3.15,45.9,5,10028
Starbucks,2.8,21.6,5,10463
Blue Bottle,4.125,124,4,10020
Dunkin',2.375,18.5,4,10010
Dunkin',3.25,13.916666666666666,4,10022
Dunkin',2.75,9.5,4,10025
Dunkin',3.125,10.25,4,10032
Dunkin',2.5,13.5,4,10033
Dunkin',2.75,26.083333333333332,4,10036
Dunkin',2.375,26.5,4,10128
Dunkin',2.0625,7.375,4,10306
Dunkin',2.375,5.25,4,10451
Dunkin',2.625,8,4,10454
Dunkin',2.75,6.75,4,10459
Dunkin',2.625,13.75,4,10463
Dunkin',2.625,18,4,11105
Dunkin',2.375,12,4,11203
Dunkin',2.6666666666666665,3,4,11208
Dunkin',2.125,18.5,4,11209
Dunkin',2.25,13.25,4,11210
Dunkin',2.75,16.75,4,11211
Dunkin',2.5,23.5,4,11215
Dunkin',2,12.25,4,11217
Dunkin',2.5,8,4,11236
Dunkin',2.75,11,4,11356
Dunkin',2,5.25,4,11357
Dunkin',2.625,11.5,4,11368
Dunkin',2.125,7,4,11434
Starbucks,2.5,55.75,4,10004
Starbucks,3.1875,86.5,4,10014
Starbucks,2.1458333333333335,67.41666666666667,4,10018
