full_address,name,zip_code,borough,ave_rating,ave_review_count,num,NAME
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11220,Brooklyn,2.3333333333333335,20.666666666666668,3,DD
"289 Hamilton Ave, Brooklyn, NY 11231,",Dunkin',10022,Brooklyn,3.5,15.666666666666666,3,DD
"289 Hamilton Ave, Brooklyn, NY 11231,",Dunkin',11208,Brooklyn,2.1666666666666665,6,3,DD
"453 Mother Gaston Blvd, Brooklyn, NY 11212,",Dunkin',10314,Brooklyn,3.1666666666666665,6.333333333333333,3,DD
"9712 Metropolitan Ave, Forest Hills, NY 11375,",Dunkin',10036,Brooklyn,2,21.333333333333332,3,DD
"9712 Metropolitan Ave, Forest Hills, NY 11375,",Dunkin',11375,Brooklyn,2.5,19.333333333333332,3,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11209,Brooklyn,2.75,26.5,2,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11214,Brooklyn,2.5,18,2,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11223,Brooklyn,2,25,2,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11235,Brooklyn,2.5,25.5,2,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11237,Brooklyn,4,10,2,DD
"133 Bloomfield Ave, Bloomfield, NJ 07003,",Dunkin',10455,Brooklyn,1.75,6,2,DD
"139 1/2 Ferry St, Newark, NJ 07105,",Dunkin',10314,Brooklyn,2.25,8.5,2,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10075,Brooklyn,2.75,5,2,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11373,Brooklyn,1.75,19,2,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11206,Brooklyn,2.5,11.5,2,DD
"1700 Church Ave, Brooklyn, NY 11226,",Dunkin',11803,Queens,2.75,23.5,2,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11590,Brooklyn,3.25,14.5,2,DD
"289 Hamilton Ave, Brooklyn, NY 11231,",Dunkin',11209,Brooklyn,2.75,15.5,2,DD
"289 Hamilton Ave, Brooklyn, NY 11231,",Dunkin',11223,Brooklyn,2.75,18.5,2,DD
"31 Franklin Ave, Hewlett, NY 11557,",Dunkin',10312,Brooklyn,2.25,9.5,2,DD
"351 Rt 34, Ste D, Matawan, NJ 07747,",Dunkin',10033,Brooklyn,2.5,9,2,DD
"3833 Route 516, Old Bridge, NJ 08857,",Dunkin',10001,Brooklyn,2.75,31.5,2,DD
"453 Mother Gaston Blvd, Brooklyn, NY 11212,",Dunkin',10306,Brooklyn,2.25,7.5,2,DD
"476 Second Ave, New York, NY 10016,",Dunkin',11414,Brooklyn,2.25,16.5,2,DD
"5951 Queens Midtown Expy, Maspeth, NY 11378,",Dunkin',10019,Brooklyn,2.75,16,2,DD
"5951 Queens Midtown Expy, Maspeth, NY 11378,",Dunkin',11378,Brooklyn,2.75,8.5,2,DD
"655 Rossville Ave, Staten Island, NY 10309,",Dunkin',10014,Brooklyn,2.5,22,2,DD
"655 Rossville Ave, Staten Island, NY 10309,",Dunkin',10021,Brooklyn,2.5,31,2,DD
"655 Rossville Ave, Staten Island, NY 10309,",Dunkin',11102,Brooklyn,3.25,17,2,DD
"9712 Metropolitan Ave, Forest Hills, NY 11375,",Dunkin',10017,Brooklyn,1.75,29,2,DD
"9712 Metropolitan Ave, Forest Hills, NY 11375,",Dunkin',11101,Brooklyn,2.75,7.5,2,DD
"1 E. 233rd St, Bronx, NY 10470,",Dunkin',10470,Brooklyn,4,1,1,DD
"1 Glen Cove Rd, Greenvale, NY 11548,",Dunkin',11548,Brooklyn,4,12,1,DD
"10 Newkirk Plaza, Brooklyn, NY 11226,",Dunkin',11226,Brooklyn,3,14,1,DD
"100 1st Ave, New York, NY 10009,",Dunkin',10009,Brooklyn,2.5,24,1,DD
"100 Main St, White Plains, NY 10601,",Dunkin',10601,Queens,3,10,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10003,Brooklyn,2.5,12,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10019,Brooklyn,4.5,2,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10022,Brooklyn,5,1,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10024,Brooklyn,3,2,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10031,Brooklyn,3.5,2,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11201,Brooklyn,2,22,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11204,Brooklyn,2,33,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11205,Brooklyn,2.5,18,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11208,Brooklyn,5,1,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11215,Brooklyn,3,26,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11216,Brooklyn,2.5,13,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11222,Brooklyn,3.5,6,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11226,Brooklyn,2.5,10,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11231,Brooklyn,2,29,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11249,Brooklyn,2.5,26,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11371,Brooklyn,5,1,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11692,Brooklyn,2,20,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin' Donuts & Baskin-Robbins,11205,Brooklyn,2.5,7,1,DD
"10227 Roosevelt Ave, Corona, NY 11368,",Dunkin',11368,Brooklyn,2.5,10,1,DD
"1024 1st Ave, New York, NY 10022,",Dunkin',10022,Brooklyn,2,12,1,DD
"1029 Clintonville St, Whitestone, NY 11357,",Dunkin',11357,Brooklyn,3.5,11,1,DD
"1030 154th St, Whitestone, NY 11357,",Dunkin',11357,Brooklyn,2,4,1,DD
"1034 North Broadway, Yonkers, NY 10701,",Dunkin',10701,Bronx,2.5,13,1,DD
"1040 Westchester Ave, Bronx, NY 10459,",Dunkin',10459,Brooklyn,1.5,12,1,DD
"1041 Prospect Ave, Bronx, NY 10459,",Dunkin',10459,Brooklyn,2.5,7,1,DD
"105 West 125th Street, New York, NY 10027,",Dunkin',10027,Brooklyn,2,22,1,DD
"1051 Willis Ave, Albertson, NY 11507,",Dunkin',11507,Brooklyn,2.5,9,1,DD
"10801 Grand Central Pkwy, East Elmhurst, NY 11369,",Dunkin',11369,Brooklyn,1.5,6,1,DD
"1099 1st Ave, New York, NY 10065,",Dunkin',10065,Brooklyn,2.5,14,1,DD
"110 West 145th St, New York, NY 10039,",Dunkin',11756,Queens,2.5,13,1,DD
"110 West 145th St, New York, NY 10039,",Dunkin',11791,Queens,3,26,1,DD
"1106 Hempstead Tpke, Franklin Square, NY 11010,",Dunkin',11010,Brooklyn,2,21,1,DD
"11420 Sutphin Blvd, Jamaica, NY 11434,",Dunkin',11010,Queens,1.5,14,1,DD
"1151 Fulton St, Brooklyn, NY 11216,",Dunkin',11216,Brooklyn,1.5,6,1,DD
"11611 Liberty Ave, South Richmond Hill, NY 11419,",Dunkin',11419,Brooklyn,2.5,12,1,DD
"1167 Webster Ave, Bronx, NY 10456,",Dunkin',10456,Brooklyn,3,7,1,DD
"11716 Queens Blvd, Forest Hills, NY 11375,",Dunkin',11375,Brooklyn,2,11,1,DD
"120 E Sunrise Hwy, Valley Stream, NY 11581,",Dunkin',11581,Brooklyn,2.5,29,1,DD
"120 Old Country Rd, Mineola, NY 11501,",Dunkin',11501,Brooklyn,3,15,1,DD
"1201 Victory Blvd, Staten Island, NY 10301,",Dunkin',10301,Brooklyn,2,12,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10018,Brooklyn,3,12,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10303,Brooklyn,1,13,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10306,Brooklyn,1,6,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10314,Brooklyn,3,17,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10459,Brooklyn,3,6,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10461,Brooklyn,2.5,14,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10462,Brooklyn,3.5,12,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',10701,Brooklyn,1.5,8,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',11415,Brooklyn,2.5,23,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',11501,Brooklyn,2,25,1,DD
"12074 Queens Blvd, Kew Gardens, NY 11415,",Dunkin',11550,Brooklyn,2,22,1,DD
