full_address,name,zip_code,ave_rating,ave_review_count,num,NAME
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11220,2.3333333333333335,20.666666666666668,3,DD
"8513 18th Ave, Brooklyn, NY 11214,",Dunkin',10306,2.1666666666666665,8,3,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11209,2.75,26.5,2,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11214,2.5,18,2,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11237,4,10,2,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10017,2.5,28.5,2,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10028,2.25,13,2,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11430,1.75,25.5,2,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11432,2.5,15,2,DD
"139 Centre St, New York, NY 10013,",Dunkin',11375,3,16.5,2,DD
"175 Varick St, New York, NY 10014,",Dunkin',10007,3,20.5,2,DD
"175 Varick St, New York, NY 10014,",Dunkin',11221,2.25,15,2,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10011,2.75,21,2,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11102,3.25,17,2,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11106,2.5,23.5,2,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11218,2.25,24.5,2,DD
"208 E 14th St, New York, NY 10003,",Dunkin',10003,1.5,9,2,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11234,2.5,3.5,2,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10458,2.5,5,2,DD
"2655 Richmond Ave, Staten Island, NY 10314,",Dunkin',10314,3.25,4.5,2,DD
"2655 Richmond Ave, Staten Island, NY 10314,",Dunkin',11590,3.25,14.5,2,DD
"297 Kearny Ave, Kearny, NJ 07032,",Dunkin',11803,2.25,13.5,2,DD
"383 Court St, Brooklyn, NY 11231,",Dunkin',10022,3.25,17.5,2,DD
"383 Court St, Brooklyn, NY 11231,",Dunkin',11101,2.75,22,2,DD
"383 Court St, Brooklyn, NY 11231,",Dunkin',11208,2.5,5.5,2,DD
"383 Court St, Brooklyn, NY 11231,",Dunkin',11222,2.75,21,2,DD
"398 Audobon Ave, New York, NY 10033,",Dunkin',10004,2.25,8.5,2,DD
"398 Audobon Ave, New York, NY 10033,",Dunkin',11501,3,16,2,DD
"4914-22 Kennedy Blvd, Ste 101, West New York, NJ 07093,",Dunkin',10455,1.75,6,2,DD
"592 Passaic Ave, Unit 10, West Caldwell, NJ 07006,",Dunkin',11419,2.25,6.5,2,DD
"677 Anderson Ave, Cliffside Park, NJ 07010,",Dunkin',10467,2,8,2,DD
"843 East 149th St, Bronx, NY 10455,",Dunkin',11373,2.5,8.5,2,DD
"9507 57th Ave, Elmhurst, NY 11373,",Dunkin',10001,2.75,31.5,2,DD
"10 Park Ave, New York, NY 10016,",Dunkin',10016,2.5,42,1,DD
"10 W 33rd St, New York, NY 10001,",Dunkin',10001,3,26,1,DD
"100 1st Ave, New York, NY 10009,",Dunkin',10009,2.5,24,1,DD
"100 Mill Rd, Freeport, NY 11520,",Dunkin',11520,1,1,1,DD
"100-05 Queens Blvd, Forest Hills, NY 11375,",Dunkin',11375,1.5,63,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10003,2.5,12,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10019,4.5,2,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10022,5,1,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10024,3,2,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',10031,3.5,2,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11201,2,22,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11205,2.5,18,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11208,5,1,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11215,3,26,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11222,3.5,6,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11223,1.5,30,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11226,2.5,10,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11231,3,8,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11232,2.5,25,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11235,2.5,29,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11249,2.5,26,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11371,5,1,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11385,5,1,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin',11692,2,20,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin' Donuts,10005,3.5,4,1,DD
"1014 Flatbush Ave, Brooklyn, NY 11226,",Dunkin' Donuts & Baskin-Robbins,11205,2.5,7,1,DD
"1024 1st Ave, New York, NY 10022,",Dunkin',10022,2,12,1,DD
"10333 94th St, Ozone Park, NY 11417,",Dunkin' Donuts,11417,1.5,6,1,DD
"1034 North Broadway, Yonkers, NY 10701,",Dunkin',10701,2.5,13,1,DD
"105 West 125th Street, New York, NY 10027,",Dunkin',10027,2,22,1,DD
"1063 Northern Blvd, Roslyn, NY 11576,",Dunkin',11576,1.5,32,1,DD
"107-11/15 Rockaway Blvd, Ozone Park, NY 11417,",Dunkin',11417,2.5,18,1,DD
"11 Holden Blvd, Staten Island, NY 10314,",Dunkin',10314,1.5,6,1,DD
"110 E 14th St, University Hall, New York, NY 10003,",Dunkin' Donuts,10003,1.5,25,1,DD
"110 West 145th St, New York, NY 10039,",Dunkin',10039,2,4,1,DD
"11010 Flatlands Ave, Brooklyn, NY 11207,",Dunkin',11207,2,9,1,DD
"114 Bruckner Blvd, Bronx, NY 10454,",Dunkin',10454,2.5,16,1,DD
"11420 Sutphin Blvd, Jamaica, NY 11434,",Dunkin',11434,1,9,1,DD
"1149 Utica Ave, Brooklyn, NY 11203,",Dunkin',11203,3,1,1,DD
"1151 Fulton St, Brooklyn, NY 11216,",Dunkin',11216,1.5,6,1,DD
"11602 Metropolitan Ave, Richmond Hill, NY 11418,",Dunkin',11418,1.5,24,1,DD
"122 Fulton St, New York, NY 10038,",Dunkin',10038,2,29,1,DD
"1225 1st Ave, New York, NY 10021,",Dunkin Donuts-Baskin Robbins-Togo's,10021,2.5,20,1,DD
"1225 1st Ave, New York, NY 10021,",Dunkin',10021,2.5,35,1,DD
"126 Jericho Turnpike, Mineola, NY 11501,",Dunkin',11501,2,25,1,DD
"127 East 23rd St, New York, NY 10010,",Dunkin',10010,2,28,1,DD
"1285 Castle Hill Ave, Bronx, NY 10462,",Dunkin' Donuts,10462,2.5,9,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10002,2.5,12,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10011,1.5,23,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10018,2,23,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10019,2.5,20,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10036,3,16,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10128,2.5,30,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10458,3.5,4,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11040,3.5,27,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11103,2.5,17,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11211,3.5,9,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11215,2,13,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11235,2,17,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11354,3,19,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11355,2,22,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11364,2,27,1,DD
