full_address,name,zip_code,ave_rating,ave_review_count,num,NAME
"55 W 52nd St, New York, NY 10019,",Starbucks,10019,2.361111111111111,30.61111111111111,18,Starbucks
"33-42 Hillel Pl, Brooklyn, NY 11210,",Starbucks,11201,2.857142857142857,45.357142857142854,14,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10036,2.4444444444444446,36.333333333333336,9,Starbucks
"229 Seventh Ave, New York, NY 10011,",Starbucks,10001,2.7777777777777777,37.333333333333336,9,Starbucks
"229 Seventh Ave, New York, NY 10011,",Starbucks,10017,2.6875,35.625,8,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10022,2.857142857142857,22.142857142857142,7,Starbucks
"145 Third Ave, New York, NY 10003,",Starbucks,10010,2.642857142857143,47.857142857142854,7,Starbucks
"145 Third Ave, New York, NY 10003,",Starbucks,10016,2.9285714285714284,47.714285714285715,7,Starbucks
"157-41 Cross Bay Blvd, Howard Beach, NY 11414,",Starbucks,10013,2.5,43.142857142857146,7,Starbucks
"157-41 Cross Bay Blvd, Howard Beach, NY 11414,",Starbucks,10007,2.6666666666666665,44.166666666666664,6,Starbucks
"2 Columbus Ave, New York, NY 10023,",Starbucks,10025,2.6666666666666665,37.833333333333336,6,Starbucks
"157-41 Cross Bay Blvd, Howard Beach, NY 11414,",Starbucks,10003,2.8,79.8,5,Starbucks
"145 Third Ave, New York, NY 10003,",Starbucks,10011,2.375,37.5,4,Starbucks
"145 Third Ave, New York, NY 10003,",Starbucks,11373,3,44.5,4,Starbucks
"157-41 Cross Bay Blvd, Howard Beach, NY 11414,",Starbucks,10012,2.25,66,4,Starbucks
"2 Columbus Ave, New York, NY 10023,",Starbucks,10023,2.375,54.25,4,Starbucks
"2 Columbus Ave, New York, NY 10023,",Starbucks,10024,2.75,55.75,4,Starbucks
"2070 Victory Blvd, Staten Island, NY 10314,",Starbucks,10314,2.5,26.75,4,Starbucks
"33-42 Hillel Pl, Brooklyn, NY 11210,",Starbucks,10005,2.5,33.5,4,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10001,3.5,19.333333333333332,3,Starbucks
"145 Third Ave, New York, NY 10003,",Starbucks,11375,3.1666666666666665,69.66666666666667,3,Starbucks
"2 Columbus Ave, New York, NY 10023,",Starbucks,10128,2.6666666666666665,31,3,Starbucks
"2 Columbus Ave, New York, NY 10023,",Starbucks,11354,2.3333333333333335,31.666666666666668,3,Starbucks
"229 Seventh Ave, New York, NY 10011,",Starbucks,10018,2.3333333333333335,51.666666666666664,3,Starbucks
"55 W 52nd St, New York, NY 10019,",Starbucks,10021,2.3333333333333335,67.66666666666667,3,Starbucks
"Njtp Mm 116, NJ TP Vince Lombardi Travel Plaza, East Ridgefield, NJ 07657,",Starbucks,11530,2,27.666666666666668,3,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10018,2.25,94,2,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10065,2.75,63,2,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10112,2.75,57.5,2,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10119,2.5,11,2,Starbucks
"145 Third Ave, New York, NY 10003,",Starbucks,10014,3.75,37,2,Starbucks
"145 Third Ave, New York, NY 10003,",Starbucks,11374,3.25,52,2,Starbucks
"157-41 Cross Bay Blvd, Howard Beach, NY 11414,",Starbucks,10006,2.75,27.5,2,Starbucks
"157-41 Cross Bay Blvd, Howard Beach, NY 11414,",Starbucks,10009,2.5,35,2,Starbucks
"2 Columbus Ave, New York, NY 10023,",Starbucks,10028,3.25,43.5,2,Starbucks
"2 Columbus Ave, New York, NY 10023,",Starbucks,11355,2,76,2,Starbucks
"2070 Victory Blvd, Staten Island, NY 10314,",Starbucks,10451,2,12,2,Starbucks
"2070 Victory Blvd, Staten Island, NY 10314,",Starbucks,10465,2.75,26.5,2,Starbucks
"2070 Victory Blvd, Staten Island, NY 10314,",Starbucks,11581,2.5,12.5,2,Starbucks
"2188 White Plains Rd, Bronx, NY 10462,",Starbucks,10704,3.5,6.5,2,Starbucks
"2188 White Plains Rd, Bronx, NY 10462,",Starbucks,10708,2.75,48,2,Starbucks
"229 Seventh Ave, New York, NY 10011,",Starbucks,10011,2.5,47.5,2,Starbucks
"229 Seventh Ave, New York, NY 10011,",Starbucks,10016,2.5,41,2,Starbucks
"229 Seventh Ave, New York, NY 10011,",Starbucks,10022,2.75,35.5,2,Starbucks
"33-42 Hillel Pl, Brooklyn, NY 11210,",Starbucks,10038,2.25,38.5,2,Starbucks
"33-42 Hillel Pl, Brooklyn, NY 11210,",Starbucks,11209,3,84.5,2,Starbucks
"33-42 Hillel Pl, Brooklyn, NY 11210,",Starbucks,11214,2.75,79,2,Starbucks
"55 W 52nd St, New York, NY 10019,",Starbucks,10001,1.75,14.5,2,Starbucks
"55 W 52nd St, New York, NY 10019,",Starbucks,10036,2.5,75.5,2,Starbucks
"55 W 52nd St, New York, NY 10019,",Starbucks,10065,2.5,64.5,2,Starbucks
"Njtp Mm 116, NJ TP Vince Lombardi Travel Plaza, East Ridgefield, NJ 07657,",Starbucks,11542,2.75,28.5,2,Starbucks
"Njtp Mm 116, NJ TP Vince Lombardi Travel Plaza, East Ridgefield, NJ 07657,",Starbucks,11548,2.75,18.5,2,Starbucks
"1 Battery Park Plz, New York, NY 10004,",Starbucks,10004,2,60,1,Starbucks
"1 Bryant Park, New York, NY 10036,",Starbucks,10036,2,10,1,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,10103,2.5,7,1,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,11103,3.5,57,1,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,11106,3.5,89,1,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,11430,2,3,1,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks,11435,3,46,1,Starbucks
"1 Penn Plaza Concourse Level, New York, NY 10119,",Starbucks - Terminal 8,11430,2,16,1,Starbucks
"10 Union Square E, New York, NY 10003,",Starbucks,10003,2.5,155,1,Starbucks
"100 William St, New York, NY 10038,",Starbucks,10038,3,31,1,Starbucks
"106 Page Ave, Staten Island, NY 10309,",Starbucks,10309,3.5,47,1,Starbucks
"107 E 43rd St, New York, NY 10036,",Starbucks,10036,2.5,6,1,Starbucks
"1077 3rd Ave, New York, NY 10065,",Starbucks,10065,3,21,1,Starbucks
"1095 Lexington Ave, New York, NY 10075,",Starbucks,10075,3,9,1,Starbucks
"1100 Avenue Of The Americas, New York, NY 10036,",Starbucks,10036,2,44,1,Starbucks
"1100 Northern Blvd, Macy's, Manhasset, NY 11030,",Starbucks,11030,3,34,1,Starbucks
"115 Broadway, New York, NY 10006,",Starbucks,10006,3,44,1,Starbucks
"118-24 Queens Blvd, Kew Gardens, NY 11415,",Starbucks,11415,3.5,94,1,Starbucks
"1243 Woodrow Rd, Ste 306, Woodrow Shopping Plaza, Staten Island, NY 10312,",Starbucks,10312,3.5,17,1,Starbucks
"1261 Lexington Ave, New York, NY 10028,",Starbucks,10028,3,39,1,Starbucks
