Zipcode,Boro,Total_Income,Median_Income,Mean_Income,Population
10453,Bronx,1062441,26324,35179,77913
10457,Bronx,933851,25474,34688,68492
10460,Bronx,775753,23645,33568,53752
10458,Bronx,1045478,25642,34873,77840
10467,Bronx,1634676,35375,45203,94492
10468,Bronx,1139152,28765,38638,76073
10451,Bronx,804450,22970,30637,37570
10452,Bronx,1064279,27673,35201,71254
10456,Bronx,1140125,21955,30837,75975
10454,Bronx,460381,18024,28294,30078
10455,Bronx,537258,22829,33951,37013
10459,Bronx,648224,22843,33744,38847
10474,Bronx,150840,24244,31476,11365
10463,Bronx,2312590,52302,65039,62456
10471,Bronx,1299006,56910,79167,18127
10466,Bronx,1342364,48470,57368,68662
10469,Bronx,1536302,57183,66926,63256
10470,Bronx,418159,53208,65712,15778
10475,Bronx,1132568,47895,57491,38149
10461,Bronx,1323318,47716,58037,48081
10462,Bronx,1736294,46085,51310,71130
10464,Bronx,198741,1520,1673,109
10465,Bronx,1254470,61446,73646,41282
10472,Bronx,913336,32632,42815,64864
10473,Bronx,1151489,36132,49073,52624
11212,Brooklyn,1278075,27911,37846,85400
11213,Brooklyn,1293051,35085,46614,65932
11216,Brooklyn,1655885,37290,52038,55021
11233,Brooklyn,1388086,35423,45327,63541
11238,Brooklyn,3068519,61469,79249,49085
11209,Brooklyn,2695383,56907,78505,69646
11214,Brooklyn,1835936,35964,48902,78896
11228,Brooklyn,1249744,55200,73658,40169
11204,Brooklyn,1895843,42764,58961,74185
11218,Brooklyn,2108146,48011,61312,75418
11219,Brooklyn,1687679,34970,50737,85825
11230,Brooklyn,2845064,47496,64348,88449
11234,Brooklyn,2886964,67953,77077,81033
11236,Brooklyn,2210543,59568,69801,94098
11239,Brooklyn,308119,24882,33975,14621
11223,Brooklyn,2434456,39421,53996,74659
11224,Brooklyn,875275,34958,45363,49491
11229,Brooklyn,2345131,49911,63752,80407
11235,Brooklyn,2423909,44730,60543,79197
11201,Brooklyn,7085009,92175,140858,48101
11205,Brooklyn,1451500,42904,57437,35648
11215,Brooklyn,4980229,81331,109384,59307
11217,Brooklyn,2897328,72611,102950,35641
11231,Brooklyn,2697067,73075,95031,33174
11203,Brooklyn,1608986,47788,60025,78886
11210,Brooklyn,2312587,55001,69162,67349
11225,Brooklyn,1638158,39782,52485,61858
11226,Brooklyn,2285813,38763,49673,106461
11207,Brooklyn,1578691,34729,44634,87324
11208,Brooklyn,1492997,33876,44515,84692
11211,Brooklyn,2507083,37632,52061,84434
11222,Brooklyn,1862511,54367,69809,40003
11220,Brooklyn,1683464,37030,50271,92398
