id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address
P8PGGzxZeMm6Na5gYqvudw,travesias-bronx,Travesias,https://s3-media2.fl.yelpcdn.com/bphoto/ego7c2zB9uYpAr7iHYxq5w/o.jpg,FALSE,https://www.yelp.com/biz/travesias-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,489,4,40.824337,-73.8203876,restaurant_reservation,$$,5271.27749099635,3834 E Tremont Ave,Bronx,NY,10465,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
b6jOwyX4iaagw8YjXqq1sA,antonios-trattoria-bronx,Antonio's Trattoria,https://s3-media3.fl.yelpcdn.com/bphoto/VnG_keQUb8r3ImEx4iInMw/o.jpg,FALSE,https://www.yelp.com/biz/antonios-trattoria-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,774,4.5,40.854131,-73.886601,character(0),$$,1297.60519082248,2370 Belmont Ave,Bronx,NY,10458,"italian, pizza, desserts, Italian, Pizza, Desserts, ","2370 Belmont Ave, Bronx, NY 10458, "
DLnn2qw-KJAmazB-hMmSEw,the-hill-bistro-bronx,The Hill Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/7EXm09g95xFsOAy8X9m0lw/o.jpg,FALSE,https://www.yelp.com/biz/the-hill-bistro-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,190,4.5,40.8863067063563,-73.9074443768295,"c(""delivery"", ""restaurant_reservation"")",$$,4854.89638747979,3541 Riverdale Ave,Bronx,NY,10463,"tradamerican, wine_bars, American (Traditional), Wine Bars, ","3541 Riverdale Ave, Bronx, NY 10463, "
03RL_VcRGXuICl2R6Luu_Q,the-waterfront-nyc-bronx,The Waterfront NYC,https://s3-media2.fl.yelpcdn.com/bphoto/zV8E_UsFpcPXpxetIvlfcQ/o.jpg,FALSE,https://www.yelp.com/biz/the-waterfront-nyc-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,13,4.5,40.8112556,-73.8352813,character(0),NA,5576.39317180847,500 Hutchinson River Pkwy,Bronx,NY,10465,"newamerican, seafood, breakfast_brunch, American (New), Seafood, Breakfast & Brunch, ","500 Hutchinson River Pkwy, Trump Golf Links, Bronx, NY 10465, "
2f-qNpdVJl2h9L6SHYuICA,havana-cafe-bronx,Havana Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/guYKvXVY-G7UjS-EMqG8kA/o.jpg,FALSE,https://www.yelp.com/biz/havana-cafe-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,785,4,40.8379,-73.83437,"c(""delivery"", ""pickup"")",$$,3500.70354271025,3151 E Tremont Ave,Bronx,NY,10461,"cuban, latin, Cuban, Latin American, ","3151 E Tremont Ave, Bronx, NY 10461, "
BiOgIv7Nj3oDrJTHiDt45g,ajo-and-oregano-bronx,Ajo & Oregano,https://s3-media1.fl.yelpcdn.com/bphoto/0IsrNKFqtDNrGscr-WLMig/o.jpg,FALSE,https://www.yelp.com/biz/ajo-and-oregano-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,356,3.5,40.83953,-73.86364,"c(""delivery"", ""pickup"")",$$,1558.29640578267,1556 White Plains Rd,Bronx,NY,10462,"dominican, Dominican, ","1556 White Plains Rd, Bronx, NY 10462, "
D8z7FS2SB48zTjvch4bc0g,johnnys-reef-restaurant-bronx,Johnny's Reef Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/lWGa2LItziCyeH0A3cwxOQ/o.jpg,FALSE,https://www.yelp.com/biz/johnnys-reef-restaurant-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,483,4,40.8377099599469,-73.7826705251312,character(0),$$,7634.43414121513,2 City Island Ave,Bronx,NY,10464,"seafood, Seafood, ","2 City Island Ave, Bronx, NY 10464, "
m6p_huTMlmMvUNkxDL1YCQ,havana-cafe-bronx-3,Havana Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/DWsgmBReQQFXhr2VsenoXg/o.jpg,FALSE,https://www.yelp.com/biz/havana-cafe-bronx-3?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,196,4,40.8331000193312,-73.8516100868583,"c(""delivery"", ""pickup"", ""restaurant_reservation"")",$$,2698.40127730734,1247 Castle Hill Ave,Bronx,NY,10462,"spanish, latin, cuban, Spanish, Latin American, Cuban, ","1247 Castle Hill Ave, Bronx, NY 10462, "
tLZfepIfSf0a80zHQTbTGQ,trattoria-zero-otto-nove-bronx,Trattoria Zero Otto Nove,https://s3-media2.fl.yelpcdn.com/bphoto/lvghehU8tD0cYZgOmxbLWQ/o.jpg,FALSE,https://www.yelp.com/biz/trattoria-zero-otto-nove-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,753,4,40.854779,-73.888474,character(0),$$,1465.54223526811,2357 Arthur Ave,Bronx,NY,10458,"italian, pizza, Italian, Pizza, ","2357 Arthur Ave, Bronx, NY 10458, "
QAMCE2DqumRQqa51hqmpkQ,hudson-smokehouse-the-bronx,Hudson Smokehouse,https://s3-media1.fl.yelpcdn.com/bphoto/NJuSCTzTFso6ZHcKHv8Itw/o.jpg,FALSE,https://www.yelp.com/biz/hudson-smokehouse-the-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,3,5,40.8070624290931,-73.927560514179,"c(""delivery"", ""pickup"")",NA,6894.95820348586,37 Bruckner Blvd,The Bronx,NY,10454,"bbq, Barbeque, ","37 Bruckner Blvd, The Bronx, NY 10454, "
YmAPpKeMuly7IIjpYcFhHw,zona-de-cuba-bronx,Zona De Cuba,https://s3-media3.fl.yelpcdn.com/bphoto/u-e91P1qkI_liaDXcjNTwQ/o.jpg,FALSE,https://www.yelp.com/biz/zona-de-cuba-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,381,3,40.8188782,-73.9265215,character(0),$$$,5937.42225977929,558 Grand Concourse,Bronx,NY,10451,"cuban, spanish, venues, Cuban, Spanish, Venues & Event Spaces, ","558 Grand Concourse, Bronx, NY 10451, "
2iqsjuh8Mpm_3p6s-G9zkQ,taqueria-tlaxcalli-bronx-3,Taqueria Tlaxcalli,https://s3-media3.fl.yelpcdn.com/bphoto/zfErzeppZ43-1laa0LAW-g/o.jpg,FALSE,https://www.yelp.com/biz/taqueria-tlaxcalli-bronx-3?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,601,4.5,40.83624,-73.854962,"c(""delivery"", ""pickup"")",$$,2236.45270428503,2103 Starling Ave,Bronx,NY,10462,"mexican, Mexican, ","2103 Starling Ave, Bronx, NY 10462, "
By2Zl1imtu0SpA4IBziN1g,la-masa-bronx-3,La Masa,https://s3-media1.fl.yelpcdn.com/bphoto/lU9nik8Pyn9fv9rrYnwWMA/o.jpg,FALSE,https://www.yelp.com/biz/la-masa-bronx-3?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,416,4,40.8480737080242,-73.8560921276473,"c(""delivery"", ""pickup"")",$$,1365.88367017908,1000 Morris Park Ave,Bronx,NY,10462,"colombian, empanadas, Colombian, Empanadas, ","1000 Morris Park Ave, Bronx, NY 10462, "
g_Zz87qghqq9bKHiKyws0w,beatstro-bronx,Beatstro,https://s3-media4.fl.yelpcdn.com/bphoto/iUFHSu-UVDT8Idt2RReyzg/o.jpg,FALSE,https://www.yelp.com/biz/beatstro-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,289,4,40.80737,-73.92752,"c(""delivery"", ""pickup"", ""restaurant_reservation"")",$$,6879.02901034428,135 Alexander Ave,Bronx,NY,10454,"tradamerican, speakeasies, latin, American (Traditional), Speakeasies, Latin American, ","135 Alexander Ave, Bronx, NY 10454, "
IrDzCy5zbVGlw9OuP15Izw,arties-steak-and-seafood-bronx-2,Arties Steak & Seafood,https://s3-media3.fl.yelpcdn.com/bphoto/UUPx-djHDtRMWRVqNxfuJQ/o.jpg,FALSE,https://www.yelp.com/biz/arties-steak-and-seafood-bronx-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,243,4,40.84964,-73.78706,character(0),$$,7096.04593519376,394 City Island Ave,Bronx,NY,10464,"seafood, steak, Seafood, Steakhouses, ","394 City Island Ave, Bronx, NY 10464, "
KNEDp6x3J6lSK-8HD-pGIQ,the-original-crab-shanty-restaurant-bronx,The Original Crab Shanty Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/pjVg0pTn5XLBHMqhVWsy7g/o.jpg,FALSE,https://www.yelp.com/biz/the-original-crab-shanty-restaurant-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,741,3.5,40.848673,-73.787163,character(0),$$,7094.69382621273,361 City Island Ave,Bronx,NY,10464,"seafood, italian, tradamerican, Seafood, Italian, American (Traditional), ","361 City Island Ave, Bronx, NY 10464, "
0p6W9PtbvBkOl7VBmUZciw,hudson-garden-grill-bronx,Hudson Garden Grill,https://s3-media3.fl.yelpcdn.com/bphoto/LagHJahIte3r7Xlc1aJHvw/o.jpg,FALSE,https://www.yelp.com/biz/hudson-garden-grill-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,152,4,40.865217626397,-73.8814812345422,character(0),$$,1677.38714112369,2900 Southern Blvd,Bronx,NY,10458,"newamerican, American (New), ","2900 Southern Blvd, Bronx, NY 10458, "
_z52AlCKEU2Lc-CB1j6Kaw,city-island-lobster-house-bronx-2,City Island Lobster House,https://s3-media1.fl.yelpcdn.com/bphoto/0pdZO-27Qt7H9Z_05pJMnw/o.jpg,FALSE,https://www.yelp.com/biz/city-island-lobster-house-bronx-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,569,3.5,40.8567604777185,-73.791118271164,character(0),$$$,6769.65220452349,691 Bridge St,Bronx,NY,10464,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
ciHt5n5rmpby1YcC_6JVrg,bronx-alehouse-bronx-2,Bronx Alehouse,https://s3-media2.fl.yelpcdn.com/bphoto/IHoWZmiZH9tLvpI7oymf9w/o.jpg,FALSE,https://www.yelp.com/biz/bronx-alehouse-bronx-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,754,4,40.8847016520226,-73.8994980779851,character(0),$$,4323.37899638251,216 W 238th St,Bronx,NY,10463,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
YU7U9NPNMwpmGyt_yrCxpA,the-boogie-down-grind-café-bronx,The Boogie Down Grind Café,https://s3-media3.fl.yelpcdn.com/bphoto/Y4noCu_vyxYimKClhTd9eg/o.jpg,FALSE,https://www.yelp.com/biz/the-boogie-down-grind-caf%C3%A9-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,48,4.5,40.81858,-73.8888998329639,character(0),$,4019.21021118561,868 Hunts Point Ave,Bronx,NY,10474,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
ba-MPbYnM6T30RNgPdUvtQ,shanghai-red-asian-latin-bistro-bronx-2,Shanghai Red Asian Latin Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/Ygm5bjAuAhWOhhafsmwKgA/o.jpg,FALSE,https://www.yelp.com/biz/shanghai-red-asian-latin-bistro-bronx-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,81,4,40.8401620296024,-73.8425095552948,"c(""delivery"", ""pickup"", ""restaurant_reservation"")",$$,2773.65018948068,127 Westchester Sq,Bronx,NY,10461,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
3uyBZNbDk2vRFBBWZOdIUA,dominicks-restaurant-bronx,Dominick's Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/Hue6R4lk2vL6zC49VReQTg/o.jpg,FALSE,https://www.yelp.com/biz/dominicks-restaurant-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,344,4,40.85434,-73.889,character(0),$$,1494.18584887849,2335 Arthur Ave,Bronx,NY,10458,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
9l5KqSTju9-yX8qmqnNkwg,archies-tap-and-table-bronx,Archie's Tap & Table,https://s3-media1.fl.yelpcdn.com/bphoto/-pTE9NBjjBa0rGkCdmgV9Q/o.jpg,FALSE,https://www.yelp.com/biz/archies-tap-and-table-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,86,4.5,40.8531112670898,-73.7894973754883,character(0),$$,6887.05131014537,536 City Island Ave,Bronx,NY,10464,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
rkYATACY4qzaVFapJTWj4Q,fish-n-ting-bronx,Fish N' Ting,https://s3-media3.fl.yelpcdn.com/bphoto/RkEUiQcPKLa6DG6ovo3Q5g/o.jpg,FALSE,https://www.yelp.com/biz/fish-n-ting-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,256,4,40.885723,-73.829075,"c(""delivery"", ""pickup"")",$$,5152.10660779248,4063 Boston Rd,Bronx,NY,10466,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
C3spvfEd8JQJie-yixRgpQ,com-tam-ninh-kieu-bronx,Com Tam Ninh Kieu,https://s3-media1.fl.yelpcdn.com/bphoto/e0yxD8a1EELQIBHhcwvo8Q/o.jpg,FALSE,https://www.yelp.com/biz/com-tam-ninh-kieu-bronx?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,380,4,40.86702,-73.8982,"c(""delivery"", ""pickup"")",$$,2792.60867542617,2641 Jerome Ave,Bronx,NY,10468,"latin, Latin American, ","3834 E Tremont Ave, Bronx, NY 10465, "
