id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address
MNNpsRXe7Wt5m3Jla9Wk0w,the-alcove-sunnyside,The Alcove,https://s3-media1.fl.yelpcdn.com/bphoto/-Q8lxKzqRRrNrOnYZSHvmg/o.jpg,FALSE,https://www.yelp.com/biz/the-alcove-sunnyside?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,848,5,40.7459065,-73.915103,character(0),$$,5486.96601317377,41-11 49th St,Sunnyside,NY,11104,"gastropubs, tapas, breakfast_brunch, Gastropubs, Tapas Bars, Breakfast & Brunch, ","41-11 49th St, Sunnyside, NY 11104, "
-86K6KX3HlUwkWTWRO3VAQ,kyuramen-flushing,KYURAMEN,https://s3-media4.fl.yelpcdn.com/bphoto/DucPmagqAhaDl0ZkOKaR4w/o.jpg,FALSE,https://www.yelp.com/biz/kyuramen-flushing?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,310,4,40.76051,-73.83339,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,3626.72912367418,133-42 37th Ave,Flushing,NY,11354,"ramen, Ramen, ","133-42 37th Ave, Flushing, NY 11354, "
jWuUibgnTGsJibOrr6UUSw,haidilao-hotpot-flushing,Haidilao Hotpot,https://s3-media3.fl.yelpcdn.com/bphoto/WiGBUxZsBHYIMiUMQTTH7Q/o.jpg,FALSE,https://www.yelp.com/biz/haidilao-hotpot-flushing?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,753,4.5,40.7612633,-73.8280301,restaurant_reservation,NA,3917.61361279112,138-23 39th Ave,Flushing,NY,11354,"hotpot, chinese, Hot Pot, Chinese, ","138-23 39th Ave, Flushing, NY 11354, "
X2azw2ehMW7N4uJBB0uNPw,rosatoro-astoria,Rosatoro,https://s3-media1.fl.yelpcdn.com/bphoto/F5za5G09i9IXn3lwLjdXRA/o.jpg,FALSE,https://www.yelp.com/biz/rosatoro-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,45,4.5,40.77459,-73.90899,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",NA,6737.06690798186,35-02 Ditmars Blvd,Astoria,NY,11105,"peruvian, Peruvian, ","35-02 Ditmars Blvd, Astoria, NY 11105, "
lxNU-aBq0yPwBDx-i89ahA,seva-indian-cuisine-astoria-5,Seva Indian Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/Jjuigig-dCV5RyCBKn4eUw/o.jpg,FALSE,https://www.yelp.com/biz/seva-indian-cuisine-astoria-5?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1201,4.5,40.7653633,-73.9191014,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,6730.68126593594,3007 34th St,Astoria,NY,11103,"indpak, Indian, ","3007 34th St, Astoria, NY 11103, "
20LSOx_4K2wghTsUx4gSsg,oceanic-boil-jackson-heights,Oceanic Boil,https://s3-media1.fl.yelpcdn.com/bphoto/aF45SWZgZoZsVsBXgEgDig/o.jpg,FALSE,https://www.yelp.com/biz/oceanic-boil-jackson-heights?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,550,4.5,40.7498297,-73.8821356,"c(""pickup"", ""delivery"")",$$,3189.49887111294,84-20 37th Ave,Jackson Heights,NY,11372,"cajun, seafood, bars, Cajun/Creole, Seafood, Bars, ","84-20 37th Ave, Jackson Heights, NY 11372, "
W0sXHSSpkiMEDJiBmSLNYQ,trestle-astoria,Trestle,https://s3-media1.fl.yelpcdn.com/bphoto/OQZ2Ej77vt74KQ9DCPxuzA/o.jpg,FALSE,https://www.yelp.com/biz/trestle-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,308,4,40.7606154,-73.9229562,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,6737.30157307997,34-02 Broadway,Astoria,NY,11106,"cocktailbars, newamerican, Cocktail Bars, American (New), ","34-02 Broadway, Astoria, NY 11106, "
Sj3JYCbaEFrAqUzRrenQbg,jora-restaurant-and-bar-long-island-city,Jora Restaurant & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/Fzckhw-nQGKVyBUKmsIfMA/o.jpg,FALSE,https://www.yelp.com/biz/jora-restaurant-and-bar-long-island-city?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,612,4.5,40.7438054,-73.9515007,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,8424.58019437015,47-46 11th St,Long Island City,NY,11101,"peruvian, cocktailbars, tapas, Peruvian, Cocktail Bars, Tapas Bars, ","47-46 11th St, Long Island City, NY 11101, "
0L03onqNwxWLrbb_FCK79A,sripraphai-thai-restaurant-woodside,SriPraPhai Thai Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/DBYmdu8aWPzPWKJzvPm-aQ/o.jpg,FALSE,https://www.yelp.com/biz/sripraphai-thai-restaurant-woodside?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,2324,4,40.7464987,-73.8992328,character(0),$$,4250.74780962707,64-13 39th Ave,Woodside,NY,11377,"thai, Thai, ","64-13 39th Ave, Woodside, NY 11377, "
kBZggrnSP1kcUMnsnfkTaQ,nan-xiang-xiao-long-bao-flushing,Nan Xiang Xiao Long Bao,https://s3-media3.fl.yelpcdn.com/bphoto/TDl9_8ZRNl2HAeHvzs6w-A/o.jpg,FALSE,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,3545,4,40.75924,-73.8326,"c(""pickup"", ""delivery"")",$,3528.57125046408,39-16 Prince St,Flushing,NY,11354,"shanghainese, gourmet, noodles, Shanghainese, Specialty Food, Noodles, ","39-16 Prince St, Ste 104, Flushing, NY 11354, "
6Guo-aozyLnQFtAuP8ZXZg,queens-comfort-astoria,Queens Comfort,https://s3-media1.fl.yelpcdn.com/bphoto/JdF87bB6RVIjjDWAL3TqYA/o.jpg,FALSE,https://www.yelp.com/biz/queens-comfort-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,2122,4,40.764527,-73.91694,"c(""delivery"", ""pickup"")",$$,6532.94407586454,3618 30th Ave,Astoria,NY,11103,"breakfast_brunch, newamerican, comfortfood, Breakfast & Brunch, American (New), Comfort Food, ","3618 30th Ave, Astoria, NY 11103, "
kSI-wgcYYfpcHcgDrbKIfg,sugar-freak-astoria,Sugar Freak,https://s3-media1.fl.yelpcdn.com/bphoto/urVAX5bVPQxTSzgT2b96LQ/o.jpg,FALSE,https://www.yelp.com/biz/sugar-freak-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1700,4,40.7646298318085,-73.9159499108791,"c(""pickup"", ""delivery"")",$$,6469.82462330594,37-11 30th Ave,Astoria,NY,11103,"cajun, southern, breakfast_brunch, Cajun/Creole, Southern, Breakfast & Brunch, ","37-11 30th Ave, Astoria, NY 11103, "
PxzhCMoWEIe2nrNz1ISq7w,astoria-seafood-and-grill-astoria,Astoria Seafood and Grill,https://s3-media1.fl.yelpcdn.com/bphoto/zoTLUtTByvxoSTg9lKWEzg/o.jpg,FALSE,https://www.yelp.com/biz/astoria-seafood-and-grill-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,103,4.5,40.76586,-73.91304,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,6353.89521263353,25-79 Steinway St,Astoria,NY,11103,"seafood, mediterranean, Seafood, Mediterranean, ","25-79 Steinway St, Astoria, NY 11103, "
cegA4jf16vEt7NCQ7cpu2w,kind-fresh-meadows,Kin'd,https://s3-media4.fl.yelpcdn.com/bphoto/tKRpJeYI8yZ-J1ddzMJEFQ/o.jpg,FALSE,https://www.yelp.com/biz/kind-fresh-meadows?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,627,4.5,40.73031,-73.77814,"c(""delivery"", ""pickup"")",$$,6273.19394240896,192-03 Union Tpke,Fresh Meadows,NY,11366,"thai, Thai, ","192-03 Union Tpke, Fresh Meadows, NY 11366, "
gEEqoeSekTOjRVmyY4fplA,cabana-forest-hills,Cabana,https://s3-media3.fl.yelpcdn.com/bphoto/EW3XqviRDpfbNu9MIzZ49g/o.jpg,FALSE,https://www.yelp.com/biz/cabana-forest-hills?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,943,4,40.7208678329074,-73.8456881046295,character(0),$$,1323.79120135919,107-10 70th Rd,Forest Hills,NY,11375,"latin, cuban, caribbean, Latin American, Cuban, Caribbean, ","107-10 70th Rd, Forest Hills, NY 11375, "
q0hMNf-YhfDMFQyUQdsIJg,r40-long-island-city-2,R40,https://s3-media3.fl.yelpcdn.com/bphoto/ekC74LWD9JsugkCVBfsYFA/o.jpg,FALSE,https://www.yelp.com/biz/r40-long-island-city-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,34,4.5,40.74501,-73.95363,character(0),NA,8624.46934623849,47-16 Vernon Blvd,Long Island City,NY,11101,"argentine, cocktailbars, Argentine, Cocktail Bars, ","47-16 Vernon Blvd, Long Island City, NY 11101, "
GNPne4Il-itbn2sLbvMo1g,angel-indian-restaurant-jackson-heights,Angel Indian Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/8HFC6t8fpwogrkAhqmXAmg/o.jpg,FALSE,https://www.yelp.com/biz/angel-indian-restaurant-jackson-heights?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,67,5,40.7473069226623,-73.8912814123575,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,3686.40652822295,7414 37th Rd,Jackson Heights,NY,11372,"indpak, vegetarian, vegan, Indian, Vegetarian, Vegan, ","7414 37th Rd, Jackson Heights, NY 11372, "
k5bGHJbAXDw9g_uP42QqDw,the-highwater-astoria,The Highwater,https://s3-media2.fl.yelpcdn.com/bphoto/aBnUr0gnSK6TBRwvmD94lQ/o.jpg,FALSE,https://www.yelp.com/biz/the-highwater-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,354,4,40.76033,-73.92245,"c(""delivery"", ""pickup"")",$$,6685.67957554235,3420 Broadway,Astoria,NY,11106,"gastropubs, tapas, breakfast_brunch, Gastropubs, Tapas Bars, Breakfast & Brunch, ","41-11 49th St, Sunnyside, NY 11104, "
o_r0-1tGDoP_HyEONWKqCw,mojo-restaurant-forest-hills,Mojo Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/BomPh586aDnPx3HE-Cy5xw/o.jpg,FALSE,https://www.yelp.com/biz/mojo-restaurant-forest-hills?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,215,4,40.720588,-73.8464128,"c(""pickup"", ""delivery"")",$$,1325.4463978506,70-20 Austin St,Forest Hills,NY,11375,"gastropubs, tapas, breakfast_brunch, Gastropubs, Tapas Bars, Breakfast & Brunch, ","41-11 49th St, Sunnyside, NY 11104, "
NVp1S29NLR573Lc4ZvICKw,forest-hills-station-house-forest-hills,Forest Hills Station House,https://s3-media1.fl.yelpcdn.com/bphoto/OhKiopfNJIfKRLCba10TFQ/o.jpg,FALSE,https://www.yelp.com/biz/forest-hills-station-house-forest-hills?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1079,4,40.7197971911827,-73.8451440959871,character(0),$$,1450.71866401296,106-11 71st Ave,Forest Hills,NY,11375,"gastropubs, tapas, breakfast_brunch, Gastropubs, Tapas Bars, Breakfast & Brunch, ","41-11 49th St, Sunnyside, NY 11104, "
