id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address
sGpb_rDDXAH9sw8xWOUTjQ,sips-maker-staten-island-2,SIPS + MAKER,https://s3-media2.fl.yelpcdn.com/bphoto/-l9ddn8NG8XlJjSgmY11Ow/o.jpg,FALSE,https://www.yelp.com/biz/sips-maker-staten-island-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,54,5,40.5715479,-74.1120343,character(0),$$,2881.82758493781,312 New Dorp Ln,Staten Island,NY,10306,"coffee, accessories, homedecor, Coffee & Tea, Accessories, Home Decor, ","312 New Dorp Ln, Staten Island, NY 10306, "
vg4EDlakqAKwQik7Zx1s_A,coperaco-staten-island-2,Coperaco,https://s3-media1.fl.yelpcdn.com/bphoto/X42QwDC_XD2UjH1CtmCdQg/o.jpg,FALSE,https://www.yelp.com/biz/coperaco-staten-island-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,13,3.5,40.629403,-74.074014,character(0),NA,7505.02028789994,7 Navy Pier Ct,Staten Island,NY,10304,"coffee, Coffee & Tea, ","7 Navy Pier Ct, Staten Island, NY 10304, "
lWxBB2GMjBGLK2DFi-G50Q,main-street-coffee-staten-island-2,Main Street Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/Jyj9UYa3LBSdAm_KtZxZLA/o.jpg,FALSE,https://www.yelp.com/biz/main-street-coffee-staten-island-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,6,5,40.51078,-74.24838,character(0),NA,12260.1233354768,173 Main St,Staten Island,NY,10307,"coffee, bakeries, acaibowls, Coffee & Tea, Bakeries, Acai Bowls, ","173 Main St, Staten Island, NY 10307, "
YqXl2aa7XCaP3VgXkU9x-g,the-kova-staten-island,The KOVA,https://s3-media4.fl.yelpcdn.com/bphoto/xMZF_6zeu_6VUr_6t6ig5Q/o.jpg,FALSE,https://www.yelp.com/biz/the-kova-staten-island?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,63,5,40.587346,-74.104111,character(0),$$,3143.73952964202,1775B Richmond Rd,Staten Island,NY,10306,"breakfast_brunch, coffee, Breakfast & Brunch, Coffee & Tea, ","1775B Richmond Rd, Staten Island, NY 10306, "
UytOpeDV0-5wIHhi987WgA,beans-and-leaves-staten-island,Beans and Leaves,https://s3-media2.fl.yelpcdn.com/bphoto/KqWodq4lYAHfrXhx5WRSGQ/o.jpg,FALSE,https://www.yelp.com/biz/beans-and-leaves-staten-island?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,318,4.5,40.6307373046875,-74.1033935546875,"c(""pickup"", ""delivery"")",$,5983.94307853914,422 Forest Ave,Staten Island,NY,10301,"coffee, breakfast_brunch, cafes, Coffee & Tea, Breakfast & Brunch, Cafes, ","422 Forest Ave, Staten Island, NY 10301, "
U6Je0ZR02-YfVvoVo5jhmw,bloom-cafe-staten-island,Bloom Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/2uRHiXHz43fw9DhP4v_eHg/o.jpg,FALSE,https://www.yelp.com/biz/bloom-cafe-staten-island?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,15,4.5,40.61398,-74.06588,character(0),NA,7121.37516285693,1203 Bay St,Staten Island,NY,10305,"breakfast_brunch, coffee, cafes, Breakfast & Brunch, Coffee & Tea, Cafes, ","1203 Bay St, Staten Island, NY 10305, "
3rtTR8Ys9W1xiSLLpZ_NHw,unique-coffee-staten-island,Unique Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/DSvFNUS0wx4vl7u_eAuS3w/o.jpg,FALSE,https://www.yelp.com/biz/unique-coffee-staten-island?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,9,5,40.63814,-74.16218,character(0),$,6171.41605457339,3075 Richmond Ter,Staten Island,NY,10303,"coffee, Coffee & Tea, ","3075 Richmond Ter, Staten Island, NY 10303, "
VSquFxwodf0y6yIbH8IlzA,café-latté-staten-island,Café Latté,https://s3-media4.fl.yelpcdn.com/bphoto/9-_bpyZfePvs-CrNcsP0tA/o.jpg,FALSE,https://www.yelp.com/biz/caf%C3%A9-latt%C3%A9-staten-island?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,27,4.5,40.587963,-74.091423,character(0),$$,4218.73702938686,309 Cromwell Ave,Staten Island,NY,10305,"modern_european, coffee, importedfood, Modern European, Coffee & Tea, Imported Food, ","309 Cromwell Ave, Staten Island, NY 10305, "
noSQ4KmDFWYHHIP-apM_2w,every-thing-goes-book-cafe-and-neighborhood-stage-staten-island,Every Thing Goes Book Cafe and Neighborhood Stage,https://s3-media2.fl.yelpcdn.com/bphoto/G1LIuW-jUtgYxEDceIqJ-A/o.jpg,FALSE,https://www.yelp.com/biz/every-thing-goes-book-cafe-and-neighborhood-stage-staten-island?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,61,4.5,40.636946,-74.076721,character(0),$,7919.79841744878,208 Bay St,Staten Island,NY,10301,"musicvideo, bookstores, coffee, Music & DVDs, Bookstores, Coffee & Tea, ","208 Bay St, Staten Island, NY 10301, "
TZD9kaE9VhadIBGuu1fxQQ,illy-caffe-staten-island,Illy Caffe,https://s3-media2.fl.yelpcdn.com/bphoto/1HZupJ3nfLXRZtYrGMGcLg/o.jpg,FALSE,https://www.yelp.com/biz/illy-caffe-staten-island?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,7,5,40.5819689271765,-74.1662436227217,character(0),NA,2142.8391363545,2655 Richmond Ave,Staten Island,NY,10314,"cafes, coffeeroasteries, bakeries, Cafes, Coffee Roasteries, Bakeries, ","2655 Richmond Ave, Staten Island, NY 10314, "
