id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address
pzqb1u_GeU-vkrk_KdFieQ,brooklyn-roasting-company-brooklyn-2,Brooklyn Roasting Company,https://s3-media2.fl.yelpcdn.com/bphoto/rlMVU9jW_veaGHNs_StUTQ/o.jpg,FALSE,https://www.yelp.com/biz/brooklyn-roasting-company-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,523,4,40.704228,-73.986241,character(0),$$,685.59970296771,25 Jay St,Brooklyn,NY,11201,"coffee, Coffee & Tea, ","25 Jay St, Brooklyn, NY 11201, "
pimuUR-TEHIjUla3S3jemQ,coffee-project-new-york-new-york-3,Coffee Project New York,https://s3-media4.fl.yelpcdn.com/bphoto/oTalWA2QqsoRD4RprV0tOg/o.jpg,FALSE,https://www.yelp.com/biz/coffee-project-new-york-new-york-3?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,680,4.5,40.72699,-73.98922,character(0),$$,2435.8434261217,239 E 5th St,New York,NY,10003,"coffee, sandwiches, Coffee & Tea, Sandwiches, ","239 E 5th St, New York, NY 10003, "
-2UtjTxrt1Xzd-HPsLJ7mA,butler-brooklyn-2,Butler,https://s3-media2.fl.yelpcdn.com/bphoto/U4lXZCW47KCPbh30XMrt1w/o.jpg,FALSE,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,91,4.5,40.7032670673495,-73.9922419276899,"c(""delivery"", ""pickup"")",NA,299.481415048451,40 Water St,Brooklyn,NY,11201,"bakeries, cafes, Bakeries, Cafes, ","40 Water St, Brooklyn, NY 11201, "
-ogb8JWn8dvgzZA656EANA,abraço-new-york-4,Abraço,https://s3-media4.fl.yelpcdn.com/bphoto/587s6r-fMqJJhMnOC6ITtA/o.jpg,FALSE,https://www.yelp.com/biz/abra%C3%A7o-new-york-4?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,842,4.5,40.72739,-73.98613,character(0),$$,2531.72795504355,81 E 7th St,New York,NY,10003,"coffeeroasteries, bakeries, Coffee Roasteries, Bakeries, ","81 E 7th St, New York, NY 10003, "
i8Vwro-8P36zajrbHhG1tA,9-tails-new-york,9 Tails,https://s3-media2.fl.yelpcdn.com/bphoto/f0NbUf7XYzJnFG-RDfmQ0w/o.jpg,FALSE,https://www.yelp.com/biz/9-tails-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,4,5,40.807472,-73.943277,character(0),NA,12131.3351027298,34 West 126th St,New York,NY,10027,"coffee, desserts, coffeeroasteries, Coffee & Tea, Desserts, Coffee Roasteries, ","34 West 126th St, New York, NY 10027, "
u0bYCPlbJ85_lDjnZQ_e3w,kaigo-coffee-room-new-york-4,Kaigo Coffee Room,https://s3-media1.fl.yelpcdn.com/bphoto/YcoMbzEtotEJJpmPriK0bw/o.jpg,FALSE,https://www.yelp.com/biz/kaigo-coffee-room-new-york-4?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,153,4.5,40.7187029822397,-74.0004725370878,character(0),$$,1563.52976460074,120C Lafayette St,New York,NY,10013,"coffee, sandwiches, Coffee & Tea, Sandwiches, ","120C Lafayette St, New York, NY 10013, "
56xmEk-5aTHwBiPyQTzMKA,dreamers-coffee-house-new-york,Dreamers Coffee House,https://s3-media2.fl.yelpcdn.com/bphoto/ASITjzHqTeCv2Q9zvSIkyQ/o.jpg,FALSE,https://www.yelp.com/biz/dreamers-coffee-house-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,7,5,40.712736,-73.995257,"c(""delivery"", ""pickup"")",NA,808.997852728019,54W Henry St,New York,NY,10002,"coffee, Coffee & Tea, ","54W Henry St, New York, NY 10002, "
jZZMmT7Mk3S-fNjXcq3Ksg,devocion-williamsburg,Devocion,https://s3-media2.fl.yelpcdn.com/bphoto/33rJ0M41qXFWuQOIF382Ow/o.jpg,FALSE,https://www.yelp.com/biz/devocion-williamsburg?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,436,4,40.716083,-73.964752,character(0),$$,2762.76564433275,69 Grand St,Williamsburg,NY,11249,"coffee, cafes, coffeeroasteries, Coffee & Tea, Cafes, Coffee Roasteries, ","69 Grand St, Williamsburg, NY 11249, "
mt9hff36EeDwz_Nf3k6ryQ,café-by-shiki-nyc-new-york,Café by Shiki NYC,https://s3-media3.fl.yelpcdn.com/bphoto/5BA94dCt8qBWy4Z8u5E9Fg/o.jpg,FALSE,https://www.yelp.com/biz/caf%C3%A9-by-shiki-nyc-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,5,5,40.722205,-74.002475,character(0),NA,1989.03427558465,40 Wooster St,New York,NY,10013,"coffee, Coffee & Tea, ","40 Wooster St, New York, NY 10013, "
LVF4FN3E2a384T-piBJlVw,kofi-coffee-and-bakery-new-york,KOFI Coffee & Bakery,https://s3-media4.fl.yelpcdn.com/bphoto/Jvo1Uvbm2d7hZgewF0teEg/o.jpg,FALSE,https://www.yelp.com/biz/kofi-coffee-and-bakery-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,3,4.5,40.76164,-73.9631498,character(0),NA,6777.23504543079,300 East 61st St,New York,NY,10065,"coffee, bakeries, Coffee & Tea, Bakeries, ","300 East 61st St, New York, NY 10065, "
