ZIPCODE,TotalPop,Men,Women,Hisp_tot,White_tot,Black_tot,Nat_tot,Asian_tot,Pov_tot,Unemployment_tot,Men_pct,Hispanic_pct,White_pct,Black_pct,Native_pct,Asian_pct,Poverty_pct,Unemployment_pct
10001,54931,27337,27594,6162,32937,3905,171,10329,8178,3719,49.76607016074712,11.217709490087564,59.960677941417416,7.1089184613424115,0.31129963044546793,18.80358995831134,14.88776829112887,6.770311845770148
10002,89904,42706,47198,24834,18737,7024,136,36672,27444,8394,47.50177967609895,27.62279765082755,20.841119416266242,7.812778074390462,0.15127246841074923,40.790176187933795,30.525894287239723,9.33662573411639
10003,78507,36959,41548,5423,57291,3000,233,10127,7879,4342,47.077330683888064,6.907664284713465,72.97565822155985,3.8213152967251327,0.2967888213789853,12.899486669978474,10.036047740965774,5.530717006126842
10004,21681,10435,11246,2093,14227,413,0,4426,1616,846,48.12969881463032,9.653613763202804,65.61966698953,1.9048936857156036,0,20.414187537475208,7.453530741201975,3.9020340390203403
10005,17798,8824,8974,1141,12166,528,37,3618,1642,691,49.57860433756602,6.410832677828969,68.35599505562423,2.966625463535229,0.2078885268007641,20.32812675581526,9.225755702887966,3.8824587032250815
10006,4374,1896,2478,464,2887,83,0,853,324,144,43.34705075445816,10.608139003200732,66.00365797896663,1.8975765889346137,0,19.5016003657979,7.4074074074074066,3.292181069958848
10007,24837,12792,12045,1959,13659,1205,23,6997,2320,958,51.503804807343876,7.887426017634979,54.994564560937306,4.851632644844385,0.09260377662358578,28.171679349357813,9.340902685509523,3.857148608930225
10008,6735,3484,3251,229,5078,101,0,1024,195,108,51.72976985894581,3.40014847809948,75.39717891610988,1.4996288047512991,0,15.20415738678545,2.89532293986637,1.6035634743875278
10009,85886,40263,45623,17821,46586,5977,98,12377,17225,5596,46.87958456558694,20.749598304729524,54.241669189390585,6.959225019211512,0.11410474349719396,14.410963370048668,20.055655170807814,6.5156137205132385
10010,69574,34552,35022,7890,46365,2797,269,10414,8403,4027,49.66223014344439,11.340443269037284,66.64127403915255,4.020179952281024,0.38663868686578323,14.968235260298387,12.077787679305487,5.788081754678472
10011,82322,41743,40579,8557,57968,4123,248,9107,8669,4043,50.70697990816549,10.394548237409198,70.41617064697164,5.008381720560725,0.3012560433419985,11.062656398046695,10.530599353757196,4.911202351740726
10012,49380,24659,24721,2860,33885,1105,68,9384,4715,2177,49.937221547185096,5.791818550020251,68.62089914945322,2.237748076144188,0.1377075739165654,19.003645200486027,9.54840016200891,4.408667476711219
10013,50358,25840,24518,5380,28230,2224,55,12731,5605,2244,51.31260177131737,10.683506096350133,56.05862027880376,4.416378728305334,0.109217999126256,25.280988125024823,11.130307001866635,4.456094364351245
