id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address
Sj3JYCbaEFrAqUzRrenQbg,jora-restaurant-and-bar-long-island-city,Jora Restaurant & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/Fzckhw-nQGKVyBUKmsIfMA/o.jpg,FALSE,https://www.yelp.com/biz/jora-restaurant-and-bar-long-island-city?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,612,4.5,40.7438054,-73.9515007,"c(""restaurant_reservation"", ""delivery"", ""pickup"")",$$,8424.58019437015,47-46 11th St,Long Island City,NY,11101,"peruvian, cocktailbars, tapas, Peruvian, Cocktail Bars, Tapas Bars, ","47-46 11th St, Long Island City, NY 11101, "
jWuUibgnTGsJibOrr6UUSw,haidilao-hotpot-flushing,Haidilao Hotpot,https://s3-media3.fl.yelpcdn.com/bphoto/WiGBUxZsBHYIMiUMQTTH7Q/o.jpg,FALSE,https://www.yelp.com/biz/haidilao-hotpot-flushing?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,753,4.5,40.7612633,-73.8280301,restaurant_reservation,NA,3917.61361279112,138-23 39th Ave,Flushing,NY,11354,"hotpot, chinese, Hot Pot, Chinese, ","138-23 39th Ave, Flushing, NY 11354, "
MNNpsRXe7Wt5m3Jla9Wk0w,the-alcove-sunnyside,The Alcove,https://s3-media1.fl.yelpcdn.com/bphoto/-Q8lxKzqRRrNrOnYZSHvmg/o.jpg,FALSE,https://www.yelp.com/biz/the-alcove-sunnyside?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,849,5,40.7459065,-73.915103,character(0),$$,5486.96601317377,41-11 49th St,Sunnyside,NY,11104,"gastropubs, tapas, breakfast_brunch, Gastropubs, Tapas Bars, Breakfast & Brunch, ","41-11 49th St, Sunnyside, NY 11104, "
W0sXHSSpkiMEDJiBmSLNYQ,trestle-astoria,Trestle,https://s3-media1.fl.yelpcdn.com/bphoto/OQZ2Ej77vt74KQ9DCPxuzA/o.jpg,FALSE,https://www.yelp.com/biz/trestle-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,308,4,40.7606154,-73.9229562,"c(""restaurant_reservation"", ""delivery"", ""pickup"")",$$,6737.30157307997,34-02 Broadway,Astoria,NY,11106,"cocktailbars, newamerican, Cocktail Bars, American (New), ","34-02 Broadway, Astoria, NY 11106, "
q0hMNf-YhfDMFQyUQdsIJg,r40-long-island-city-2,R40,https://s3-media3.fl.yelpcdn.com/bphoto/ekC74LWD9JsugkCVBfsYFA/o.jpg,FALSE,https://www.yelp.com/biz/r40-long-island-city-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,34,4.5,40.74501,-73.95363,character(0),NA,8624.46934623849,47-16 Vernon Blvd,Long Island City,NY,11101,"argentine, cocktailbars, Argentine, Cocktail Bars, ","47-16 Vernon Blvd, Long Island City, NY 11101, "
X2azw2ehMW7N4uJBB0uNPw,rosatoro-astoria,Rosatoro,https://s3-media1.fl.yelpcdn.com/bphoto/F5za5G09i9IXn3lwLjdXRA/o.jpg,FALSE,https://www.yelp.com/biz/rosatoro-astoria?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,45,4.5,40.77459,-73.90899,"c(""restaurant_reservation"", ""delivery"", ""pickup"")",NA,6737.06690798186,35-02 Ditmars Blvd,Astoria,NY,11105,"peruvian, Peruvian, ","35-02 Ditmars Blvd, Astoria, NY 11105, "
GNPne4Il-itbn2sLbvMo1g,angel-indian-restaurant-jackson-heights,Angel Indian Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/8HFC6t8fpwogrkAhqmXAmg/o.jpg,FALSE,https://www.yelp.com/biz/angel-indian-restaurant-jackson-heights?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,65,5,40.7473069226623,-73.8912814123575,"c(""restaurant_reservation"", ""delivery"", ""pickup"")",$$,3686.40652822295,7414 37th Rd,Jackson Heights,NY,11372,"indpak, vegetarian, vegan, Indian, Vegetarian, Vegan, ","7414 37th Rd, Jackson Heights, NY 11372, "
o_r0-1tGDoP_HyEONWKqCw,mojo-restaurant-forest-hills,Mojo Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/BomPh586aDnPx3HE-Cy5xw/o.jpg,FALSE,https://www.yelp.com/biz/mojo-restaurant-forest-hills?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,213,4,40.720588,-73.8464128,"c(""delivery"", ""pickup"")",$$,1325.4463978506,70-20 Austin St,Forest Hills,NY,11375,"latin, Latin American, ","70-20 Austin St, Forest Hills, NY 11375, "
FC2uST9JpPCFmjDcMDVZMA,naked-crab-flushing,Naked Crab,https://s3-media3.fl.yelpcdn.com/bphoto/LNwKfweIyn_05eyYsPkKIA/o.jpg,FALSE,https://www.yelp.com/biz/naked-crab-flushing?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,555,4,40.7585,-73.83467,"c(""restaurant_reservation"", ""delivery"", ""pickup"")",$$,3366.74782164474,39-16 College Point Blvd,Flushing,NY,11354,"seafood, cajun, Seafood, Cajun/Creole, ","39-16 College Point Blvd, Flushing, NY 11354, "
-86K6KX3HlUwkWTWRO3VAQ,kyuramen-flushing,KYURAMEN,https://s3-media4.fl.yelpcdn.com/bphoto/DucPmagqAhaDl0ZkOKaR4w/o.jpg,FALSE,https://www.yelp.com/biz/kyuramen-flushing?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,309,4,40.76051,-73.83339,"c(""restaurant_reservation"", ""delivery"", ""pickup"")",$$,3626.72912367418,133-42 37th Ave,Flushing,NY,11354,"ramen, Ramen, ","133-42 37th Ave, Flushing, NY 11354, "
