id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address
ehUuSk5gPTCQmwS_ubgKRA,upstate-craft-beer-and-oyster-bar-new-york-4,Upstate Craft Beer & Oyster Bar,https://s3-media1.fl.yelpcdn.com/bphoto/RvnUVU7MF7DT0RzNL-EebQ/o.jpg,FALSE,https://www.yelp.com/biz/upstate-craft-beer-and-oyster-bar-new-york-4?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1848,4.5,40.726373,-73.986557,restaurant_reservation,$$,2416.71535911597,95 1st Ave,New York,NY,10003,"seafood, Seafood, ","95 1st Ave, New York, NY 10003, "
I2lgw_7DUnwD92ND4PN-Ow,aunt-jakes-new-york,Aunt Jake's,https://s3-media2.fl.yelpcdn.com/bphoto/hMhn_lnES3QWc4Gtihvr0A/o.jpg,FALSE,https://www.yelp.com/biz/aunt-jakes-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1461,4,40.7186467,-73.9979241,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,1499.53553395696,133 Mulberry St,New York,NY,10013,"italian, wine_bars, pastashops, Italian, Wine Bars, Pasta Shops, ","133 Mulberry St, New York, NY 10013, "
OCTiJwvjoK81WoDwsTkFvA,paesano-of-mulberry-street-new-york,Paesano of Mulberry Street,https://s3-media2.fl.yelpcdn.com/bphoto/yN9ARCE3LF6u9E0yN5WpIw/o.jpg,FALSE,https://www.yelp.com/biz/paesano-of-mulberry-street-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,923,4,40.718554,-73.997447,"c(""restaurant_reservation"", ""pickup"")",$$,1481.70665282896,136 Mulberry St,New York,NY,10013,"italian, salad, seafood, Italian, Salad, Seafood, ","136 Mulberry St, New York, NY 10013, "
s3jou_L_LVYGkNHiuhjlew,boucherie-west-village-new-york-3,Boucherie West Village,https://s3-media2.fl.yelpcdn.com/bphoto/-5TXMVrjARsqKQHDg-hKbQ/o.jpg,FALSE,https://www.yelp.com/biz/boucherie-west-village-new-york-3?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1428,4.5,40.733063,-74.0028772,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$$,3155.05057727474,99 7th Ave S,New York,NY,10014,"french, cocktailbars, steak, French, Cocktail Bars, Steakhouses, ","99 7th Ave S, New York, NY 10014, "
_l40VhhS3pNm55yZTLgLuw,velvet-brooklyn-brooklyn-2,Velvet Brooklyn,https://s3-media2.fl.yelpcdn.com/bphoto/kvdvd-dSea0vhHf0LQktnw/o.jpg,FALSE,https://www.yelp.com/biz/velvet-brooklyn-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,78,4,40.7100847891067,-73.9625787734985,character(0),$$,2722.56722623807,174 Broadway,Brooklyn,NY,11211,"lounges, venues, cafes, Lounges, Venues & Event Spaces, Cafes, ","174 Broadway, Brooklyn, NY 11211, "
ax4INkzwL__-d_kGJfcA-w,kaikagetsu-nyc-new-york-2,Kaikagetsu NYC,https://s3-media4.fl.yelpcdn.com/bphoto/m_ARAOwDgHTjn3WkmwkolA/o.jpg,FALSE,https://www.yelp.com/biz/kaikagetsu-nyc-new-york-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,67,4.5,40.72104,-73.98848,restaurant_reservation,NA,1800.66500704258,162 Orchard St,New York,NY,10002,"japanese, Japanese, ","162 Orchard St, New York, NY 10002, "
m1cJLpDN4B-_0hGgPfe5OA,salt-charcoal-brooklyn,Salt + Charcoal,https://s3-media3.fl.yelpcdn.com/bphoto/RDtbfJjYqtdpaKvTrRhh2A/o.jpg,FALSE,https://www.yelp.com/biz/salt-charcoal-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,466,4,40.71453,-73.9613511,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,2954.68807510907,171 Grand St,Brooklyn,NY,11249,"japanese, asianfusion, steak, Japanese, Asian Fusion, Steakhouses, ","171 Grand St, Brooklyn, NY 11249, "
XEugUtbw4rRmGr9S1XA-aQ,alta-new-york,Alta,https://s3-media1.fl.yelpcdn.com/bphoto/aUWGUNBLw-mbQZOzJ9-Pdw/o.jpg,FALSE,https://www.yelp.com/biz/alta-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1903,4,40.7345163811398,-73.9983369619683,restaurant_reservation,$$$,3250.51527712558,64 W 10th St,New York,NY,10011,"tapas, mediterranean, spanish, Tapas Bars, Mediterranean, Spanish, ","64 W 10th St, New York, NY 10011, "
Rc1lxc5lSKJYd162JHNMfQ,bea-new-york,Bea,https://s3-media2.fl.yelpcdn.com/bphoto/bh2s5Gj256Y2UskQMgu_XQ/o.jpg,FALSE,https://www.yelp.com/biz/bea-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,2497,4,40.7591968,-73.9923361,restaurant_reservation,$$,5979.21037109194,403 W 43rd St,New York,NY,10036,"newamerican, cocktailbars, American (New), Cocktail Bars, ","403 W 43rd St, New York, NY 10036, "
q11TljTQd33XCWlVoPyRqg,the-osprey-brooklyn,The Osprey,https://s3-media4.fl.yelpcdn.com/bphoto/2WwMWz2pOA0oHqIkz08shA/o.jpg,FALSE,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,203,4,40.702241,-73.995539,character(0),$$,367.74754369776,60 Furman St,Brooklyn,NY,11201,"newamerican, American (New), ","60 Furman St, Brooklyn, NY 11201, "
